"Term ID","Discription","Annotated","p-value","FDR q-value"
"LION:0000003","glycerophospholipids [GP]","71","1.6e-05","0.000832"
"    [#0059] PC (28:0)  ","","","",""
"    [#0060] PC(30:0)","","","",""
"    [#0061] PC(30:1)","","","",""
"    [#0062] PC(32:0)","","","",""
"    [#0063] PC(32:1)","","","",""
"    [#0064] PC(32:2)","","","",""
"    [#0065] PC(34:0)","","","",""
"    [#0066] PC(34:1)","","","",""
"    [#0067] PC(34:2)","","","",""
"    [#0068] PC(34:3)","","","",""
"    [#0069] PC(36:1)","","","",""
"    [#0070] PC(36:2)","","","",""
"    [#0071] PC(36:3)","","","",""
"    [#0072] PC(36:4)","","","",""
"    [#0073] PC(38:2)","","","",""
"    [#0074] PC(38:3)","","","",""
"    [#0075] PC(38:4)","","","",""
"    [#0076] PC(38:5)","","","",""
"    [#0077] PC(38:6)","","","",""
"    [#0078] PC(40:3)","","","",""
"    [#0079] PC(40:6)","","","",""
"    [#0080] PE(32:0)","","","",""
"    [#0081] PE(32:1)","","","",""
"    [#0082] PE(32:2)","","","",""
"    [#0083] PE(34:0)","","","",""
"    [#0084] PE(34:1)","","","",""
"    [#0085] PE(36:1)","","","",""
"    [#0086] PE(36:2)","","","",""
"    [#0087] PE(36:3)","","","",""
"    [#0088] PE(36:4)","","","",""
"    [#0089] PE(38:2)","","","",""
"    [#0090] PE(38:3)","","","",""
"    [#0091] PE(38:4)","","","",""
"    [#0092] PE(38:5)","","","",""
"    [#0093] PE(38:6)","","","",""
"    [#0094] PE(40:3)","","","",""
"    [#0095] PE(40:5)","","","",""
"    [#0096] PE(40:6)","","","",""
"    [#0097] PE(40:7)","","","",""
"    [#0109] PI(32:1)","","","",""
"    [#0110] PI(34:1)","","","",""
"    [#0111] PI(34:2)","","","",""
"    [#0112] PI(36:0)","","","",""
"    [#0113] PI(36:1)","","","",""
"    [#0114] PI(36:2)","","","",""
"    [#0115] PI(36:3)","","","",""
"    [#0116] PI(38:1)","","","",""
"    [#0117] PI(38:2)","","","",""
"    [#0118] PI(38:3)","","","",""
"    [#0119] PI(38:4)","","","",""
"    [#0120] PI(38:5)","","","",""
"    [#0121] PI(40:2)","","","",""
"    [#0122] PI(40:3)","","","",""
